fips,accuracy,macro_f1,mae,n_days
1001,0.0,0.0,2.8077,728
1003,0.1442,0.084,0.8558,728
1005,0.0192,0.0094,2.6731,728
1007,0.0,0.0,3.5673,728
1009,0.0288,0.0112,3.4327,728
1011,0.0,0.0,3.6058,728
1013,0.0,0.0,2.8077,728
1015,0.0,0.0,4.4135,728
1017,0.0,0.0,3.6058,728
1019,0.0288,0.0112,3.4038,728
1021,0.0,0.0,2.7404,728
1023,0.0,0.0,2.75,728
1025,0.0,0.0,2.7885,728
1027,0.0,0.0,4.5673,728
1029,0.0,0.0,4.4519,728
1031,0.0577,0.0273,1.6731,728
1033,0.1058,0.0638,1.625,728
1035,0.0,0.0,2.7115,728
1037,0.0,0.0,3.7885,728
1039,0.0288,0.014,1.7019,728
1041,0.0,0.0,2.5962,728
1043,0.0577,0.0273,2.5385,728
1045,0.0673,0.0315,1.7212,728
1047,0.0,0.0,2.8365,728
1049,0.0,0.0,3.5769,728
1051,0.0,0.0,2.8462,728
1053,0.0096,0.0048,1.7596,728
1055,0.0288,0.0112,3.4038,728
1057,0.0673,0.0315,2.2981,728
1059,0.1058,0.0638,1.6635,728
1061,0.8077,0.2234,0.2885,728
1063,0.0673,0.0315,2.4519,728
1065,0.0288,0.014,2.5865,728
1067,0.0192,0.0094,1.7596,728
1069,0.7885,0.2204,0.375,728
1071,0.0,0.0,2.7019,728
1073,0.0,0.0,4.2885,728
1075,0.0481,0.0229,2.3173,728
1077,0.0288,0.0187,1.7115,728
1079,0.0288,0.014,2.5962,728
1081,0.0,0.0,3.7308,728
1083,0.0962,0.0585,1.6731,728
1085,0.0,0.0,2.8654,728
1087,0.0,0.0,3.6346,728
1089,0.0962,0.0585,1.6635,728
1091,0.0,0.0,3.625,728
1093,0.0481,0.0229,2.4808,728
1095,0.0288,0.014,2.5962,728
1097,0.0,0.0,1.9038,728
1099,0.0,0.0,2.7692,728
1101,0.0,0.0,2.7596,728
1103,0.0288,0.014,2.5769,728
1105,0.0,0.0,2.6827,728
1107,0.0769,0.0357,2.3173,728
1109,0.0192,0.0094,2.6346,728
1111,0.0,0.0,4.625,728
1113,0.0,0.0,3.7115,728
1115,0.0,0.0,4.4327,728
1117,0.0,0.0,3.4904,728
1119,0.0865,0.0531,1.5865,728
1121,0.0,0.0,3.5673,728
1123,0.0,0.0,3.7308,728
1125,0.0288,0.0112,3.3365,728
1127,0.0,0.0,3.3654,728
1129,0.0,0.0,1.8558,728
1131,0.0,0.0,2.7981,728
1133,0.0481,0.0229,2.5385,728
4001,0.0962,0.0351,1.7115,728
4003,0.2308,0.125,1.3654,728
4005,0.4519,0.1556,1.3654,728
4007,0.3269,0.0986,1.6923,728
4009,0.2596,0.1031,1.5769,728
4011,0.2308,0.0938,1.5673,728
4012,0.125,0.0444,1.2404,728
4013,0.3365,0.1007,1.0673,728
4015,0.4519,0.1556,1.3077,728
4017,0.0962,0.0351,1.6442,728
4019,0.4327,0.2013,0.8365,728
4021,0.4712,0.1601,0.8654,728
4023,0.3942,0.1414,1.2019,728
4025,0.4327,0.151,1.2308,728
4027,0.4712,0.1601,0.6442,728
5001,0.1731,0.0984,0.8269,728
5003,0.1154,0.0517,1.6827,728
5005,0.1442,0.063,1.0096,728
5007,0.3269,0.1643,0.6731,728
5009,0.1827,0.0772,0.9327,728
5011,0.0288,0.0112,1.7692,728
5013,0.1346,0.0475,0.9231,728
5015,0.1923,0.1075,0.8077,728
5017,0.0673,0.042,1.7596,728
5019,0.7115,0.1663,0.5192,728
5021,0.7115,0.2772,0.4135,728
5023,0.2212,0.0906,0.8077,728
5025,0.2115,0.0698,0.8269,728
5027,0.2019,0.0672,0.875,728
5029,0.2115,0.0873,0.8173,728
5031,0.8462,0.3056,0.1731,728
5033,0.25,0.1,1.9327,728
5035,0.9423,0.4851,0.0577,728
5037,0.9135,0.3183,0.1058,728
5039,0.7596,0.1727,0.4327,728
5041,0.0481,0.0306,1.8173,728
5043,0.1058,0.0478,1.6923,728
5045,0.1923,0.0806,0.8365,728
5047,0.2308,0.0938,1.9038,728
5049,0.1346,0.0475,1.0385,728
5051,0.6731,0.1609,0.5962,728
5053,0.7596,0.1727,0.4231,728
5055,0.7692,0.2899,0.3269,728
5057,0.6923,0.1636,0.5288,728
5059,0.7115,0.1663,0.5288,728
5061,0.6731,0.1609,0.5865,728
5063,0.1442,0.063,0.8846,728
5065,0.1346,0.0593,1.0096,728
5067,0.1827,0.0772,0.8365,728
5069,0.7788,0.2189,0.3077,728
5071,0.1827,0.0772,1.3654,728
5073,0.6058,0.1886,0.6731,728
5075,0.75,0.2143,0.4231,728
5077,0.1538,0.0889,0.8462,728
5079,0.1923,0.0806,0.8269,728
5081,0.6827,0.1623,0.5481,728
5083,0.1827,0.0772,1.2885,728
5085,0.7404,0.2127,0.3846,728
5087,0.3269,0.1643,1.2115,728
5089,0.1538,0.0667,1.0,728
5091,0.6154,0.1905,0.6346,728
5093,0.9327,0.4826,0.0673,728
5095,0.8173,0.2998,0.2115,728
5097,0.6827,0.1623,0.6058,728
5099,0.7019,0.165,0.5288,728
5101,0.3173,0.1204,1.2308,728
5103,0.2308,0.075,0.8365,728
5105,0.25,0.1,0.8077,728
5107,0.1731,0.1475,0.8269,728
5109,0.6731,0.1609,0.5962,728
5111,0.9135,0.3183,0.1058,728
5113,0.2308,0.0938,0.8269,728
5115,0.1923,0.0806,1.3654,728
5117,0.7404,0.2127,0.3558,728
5119,0.6923,0.1636,0.4712,728
5121,0.1923,0.0806,0.9038,728
5123,0.8462,0.3056,0.1731,728
5125,0.625,0.1538,0.5769,728
5127,0.2212,0.0906,1.2885,728
5129,0.125,0.0556,0.9808,728
5131,0.2308,0.0938,1.9615,728
5133,0.6731,0.1609,0.5673,728
5135,0.125,0.0556,0.9808,728
5137,0.125,0.0556,1.0,728
5139,0.2596,0.0824,0.7981,728
5141,0.1635,0.0702,0.8654,728
5143,0.3077,0.1569,1.1538,728
5145,0.7212,0.2095,0.3654,728
5147,0.7596,0.2158,0.2885,728
5149,0.1923,0.0806,0.8558,728
6001,0.0385,0.0247,1.6635,728
6003,0.0096,0.0063,1.8654,728
6005,0.0096,0.0063,1.8942,728
6007,0.2596,0.1374,0.7404,728
6009,0.0096,0.0048,2.8558,728
6011,0.3077,0.1569,0.6923,728
6013,0.0385,0.0247,1.6635,728
6015,0.7404,0.2836,0.4519,728
6017,0.0962,0.0877,0.9038,728
6019,0.0096,0.0038,3.3269,728
6021,0.3173,0.1606,0.6827,728
6023,0.7404,0.2836,0.3365,728
6025,0.4135,0.1463,0.6154,728
6027,0.0096,0.0048,2.4712,728
6029,0.0096,0.0038,3.2885,728
6031,0.0288,0.0112,2.75,728
6033,0.2692,0.1414,0.7308,728
6035,0.1346,0.1186,0.8654,728
6037,0.0288,0.014,2.3654,728
6039,0.0096,0.0038,3.6827,728
6041,0.7404,0.2836,0.2885,728
6043,0.0096,0.0038,3.7019,728
6045,0.7404,0.2836,0.3173,728
6047,0.0096,0.0038,3.375,728
6049,0.7692,0.4348,0.2308,728
6051,0.0096,0.0048,2.8269,728
6053,0.0096,0.0038,3.5096,728
6055,0.7308,0.2815,0.2981,728
6057,0.1154,0.069,0.8846,728
6059,0.0288,0.014,2.0769,728
6061,0.1154,0.069,0.8846,728
6063,0.0769,0.0476,0.9231,728
6065,0.2885,0.1119,1.0865,728
6067,0.0288,0.0187,1.8365,728
