--- Training LSTM ---
Epoch 1/30 | Macro-F1: 0.2623 | MAE: 0.9032 | lr: 1.00e-03
Epoch 2/30 | Macro-F1: 0.3010 | MAE: 0.6053 | lr: 1.00e-03
Epoch 3/30 | Macro-F1: 0.3161 | MAE: 0.5106 | lr: 1.00e-03
Epoch 4/30 | Macro-F1: 0.3161 | MAE: 0.5334 | lr: 1.00e-03
Epoch 5/30 | Macro-F1: 0.3090 | MAE: 0.5031 | lr: 1.00e-03
Epoch 6/30 | Macro-F1: 0.3186 | MAE: 0.4886 | lr: 1.00e-03
Epoch 7/30 | Macro-F1: 0.2954 | MAE: 0.4901 | lr: 1.00e-03
Epoch 8/30 | Macro-F1: 0.3106 | MAE: 0.4573 | lr: 1.00e-03
Epoch 9/30 | Macro-F1: 0.3028 | MAE: 0.4215 | lr: 5.00e-04
Epoch 10/30 | Macro-F1: 0.3289 | MAE: 0.4144 | lr: 5.00e-04
Epoch 11/30 | Macro-F1: 0.3140 | MAE: 0.4282 | lr: 5.00e-04
Epoch 12/30 | Macro-F1: 0.3115 | MAE: 0.4249 | lr: 5.00e-04
Epoch 13/30 | Macro-F1: 0.3211 | MAE: 0.4091 | lr: 2.50e-04
Epoch 14/30 | Macro-F1: 0.3130 | MAE: 0.4165 | lr: 2.50e-04
Epoch 15/30 | Macro-F1: 0.3154 | MAE: 0.4065 | lr: 2.50e-04
Epoch 16/30 | Macro-F1: 0.3210 | MAE: 0.4136 | lr: 1.25e-04
Epoch 17/30 | Macro-F1: 0.3185 | MAE: 0.4059 | lr: 1.25e-04
Epoch 18/30 | Macro-F1: 0.3214 | MAE: 0.4062 | lr: 1.25e-04
Epoch 19/30 | Macro-F1: 0.3210 | MAE: 0.4076 | lr: 6.25e-05
Epoch 20/30 | Macro-F1: 0.3196 | MAE: 0.4126 | lr: 6.25e-05
Epoch 21/30 | Macro-F1: 0.3182 | MAE: 0.4054 | lr: 6.25e-05
Epoch 22/30 | Macro-F1: 0.3196 | MAE: 0.4128 | lr: 3.13e-05
Epoch 23/30 | Macro-F1: 0.3185 | MAE: 0.4127 | lr: 3.13e-05
Epoch 24/30 | Macro-F1: 0.3194 | MAE: 0.4108 | lr: 3.13e-05
Epoch 25/30 | Macro-F1: 0.3189 | MAE: 0.4109 | lr: 1.56e-05
Epoch 26/30 | Macro-F1: 0.3197 | MAE: 0.4071 | lr: 1.56e-05
Epoch 27/30 | Macro-F1: 0.3202 | MAE: 0.4092 | lr: 1.56e-05
Epoch 28/30 | Macro-F1: 0.3174 | MAE: 0.4095 | lr: 7.81e-06
Epoch 29/30 | Macro-F1: 0.3172 | MAE: 0.4091 | lr: 7.81e-06
Epoch 30/30 | Macro-F1: 0.3194 | MAE: 0.4065 | lr: 7.81e-06

--- Final Evaluation ---
Best Macro-F1: 0.3289 | MAE: 0.4144
